date,location,station,avg_temp,min_temp,max_temp,precipitation,humidity
2010-07-23,Pune,ST001,23.44,19.4,30.34,10.61,71
2010-07-24,Pune,ST001,17.97,10.92,22.8,6.02,88
2010-07-25,Pune,ST001,18.81,11.23,26.34,3.67,83
2010-07-26,Pune,ST001,21.88,16.14,28.34,6.59,93
2010-07-27,Pune,ST001,21.75,15.61,27.46,13.22,85
2010-07-28,Pune,ST001,21.63,15.72,26.36,14.76,91
2010-07-29,Pune,ST001,28.85,23.29,36.62,6.33,83
2010-07-30,Pune,ST001,21.5,13.95,28.52,9.23,92
2010-07-31,Pune,ST001,22.63,15.05,27.46,2.57,74
2010-08-01,Pune,ST001,22.11,16.76,27.46,7.79,72
2010-08-02,Pune,ST001,21.32,14.86,28.56,9.69,87
2010-08-03,Pune,ST001,19.08,11.37,25.86,8.99,82
2010-08-04,Pune,ST001,21.32,13.48,28.39,11.53,88
2010-08-05,Pune,ST001,17.84,11.8,23.6,11.16,88
2010-08-06,Pune,ST001,18.91,13.09,25.77,7.74,82
2010-08-07,Pune,ST001,18.25,13.13,23.79,5.73,85
2010-08-08,Pune,ST001,19.38,11.55,24.23,12.05,84
2010-08-09,Pune,ST001,24.19,19.62,30.72,5.7,83
2010-08-10,Pune,ST001,14.88,8.56,22.78,8.6,71
2010-08-11,Pune,ST001,20.39,15.26,25.63,4.1,89
2010-08-12,Pune,ST001,15.23,10.11,21.07,4.99,70
2010-08-13,Pune,ST001,17.63,12.01,24.33,25.16,71
2010-08-14,Pune,ST001,20.97,12.97,27.13,2.21,92
2010-08-15,Pune,ST001,18.61,14.39,25.98,8.64,83
2010-08-16,Pune,ST001,16.0,9.69,23.05,11.32,82
2010-08-17,Pune,ST001,16.7,12.37,20.93,3.82,89
2010-08-18,Pune,ST001,19.67,15.06,27.67,5.03,87
2010-08-19,Pune,ST001,16.48,10.72,23.49,7.08,90
2010-08-20,Pune,ST001,18.47,12.43,25.92,16.25,74
2010-08-21,Pune,ST001,18.0,12.97,24.61,5.96,93
2010-08-22,Pune,ST001,16.38,11.12,23.81,12.04,83
2010-08-23,Pune,ST001,22.45,18.1,26.89,4.64,84
2010-08-24,Pune,ST001,19.04,13.83,24.43,12.64,93
2010-08-25,Pune,ST001,13.11,5.24,20.61,6.57,74
2010-08-26,Pune,ST001,17.89,10.11,22.7,12.96,76
2010-08-27,Pune,ST001,15.95,10.61,20.26,7.11,82
2010-08-28,Pune,ST001,19.2,12.92,26.35,5.46,80
2010-08-29,Pune,ST001,15.51,7.87,22.85,45.499391660985935,70
2010-08-30,Pune,ST001,16.92,12.9,21.58,6.58,79
2010-08-31,Pune,ST001,18.22,10.97,25.63,1.77,85
2010-09-01,Pune,ST001,18.94,11.15,25.69,14.2,84
2010-09-02,Pune,ST001,14.33,9.96,20.41,8.59,86
2010-09-03,Pune,ST001,16.17,11.52,23.49,6.87,79
2010-09-04,Pune,ST001,15.8,7.96,21.48,4.48,74
2010-09-05,Pune,ST001,15.35,9.2,20.12,8.54,82
2010-09-06,Pune,ST001,20.61,16.55,25.75,18.78,81
2010-09-07,Pune,ST001,17.56,12.53,23.58,10.43,80
2010-09-08,Pune,ST001,13.84,8.04,19.97,7.87,88
2010-09-09,Pune,ST001,18.58,11.81,25.8,13.08,72
2010-09-10,Pune,ST001,21.18,14.25,28.35,2.93,70
2010-09-11,Pune,ST001,18.74,10.76,25.06,4.43,94
2010-09-12,Pune,ST001,13.08,7.93,20.2,9.91,79
2010-09-13,Pune,ST001,15.31,9.16,20.08,6.79,94
2010-09-14,Pune,ST001,19.12,12.99,23.32,18.95,82
2010-09-15,Pune,ST001,14.74,9.12,22.24,13.06,89
2010-09-16,Pune,ST001,17.24,12.56,21.54,16.81,84
2010-09-17,Pune,ST001,17.93,10.02,22.92,10.52,78
2010-09-18,Pune,ST001,14.16,6.74,20.94,7.16,80
2010-09-19,Pune,ST001,16.04,10.04,21.67,4.1,77
2010-09-20,Pune,ST001,9.01,2.6,16.52,8.22,78
2010-09-21,Pune,ST001,13.86,8.95,19.05,15.01,91
2010-09-22,Pune,ST001,15.54,9.36,19.59,7.67,87
2010-09-23,Pune,ST001,13.33,6.55,18.53,9.57,73
2010-09-24,Pune,ST001,19.65,13.59,25.96,21.4,83
2010-09-25,Pune,ST001,12.9,4.93,18.4,2.22,92
2010-09-26,Pune,ST001,15.06,8.62,21.2,37.53,70
2010-09-27,Pune,ST001,16.31,10.82,23.81,14.24,85
2010-09-28,Pune,ST001,19.18,12.09,26.83,10.29,72
2010-09-29,Pune,ST001,12.85,8.16,17.91,6.48,72
2010-09-30,Pune,ST001,18.56,13.02,24.41,8.4,76
2010-10-01,Pune,ST001,16.02,10.63,22.22,1.26,47
2010-10-02,Pune,ST001,13.84,8.11,21.64,4.42,46
2010-10-03,Pune,ST001,17.02,9.89,25.02,0.66,48
2010-10-04,Pune,ST001,16.45,10.51,21.39,0.15,40
2010-10-05,Pune,ST001,14.7,7.52,21.61,1.13,58
2010-10-06,Pune,ST001,16.18,9.88,21.7,0.04,63
2010-10-07,Pune,ST001,15.2,9.83,19.23,0.56,44
2010-10-08,Pune,ST001,16.31,9.07,20.35,2.03,51
2010-10-09,Pune,ST001,17.53,12.58,23.38,0.92,52
2010-10-10,Pune,ST001,19.59,14.69,25.54,0.76,45
2010-10-11,Pune,ST001,13.4,7.38,17.49,0.09,50
2010-10-12,Pune,ST001,20.84,15.79,27.58,1.23,47
2010-10-13,Pune,ST001,11.88,7.84,17.05,1.02,62
2010-10-14,Pune,ST001,15.87,9.27,22.11,1.93,49
2010-10-15,Pune,ST001,17.53,11.48,22.73,1.33,49
2010-10-16,Pune,ST001,16.89,11.1,21.55,1.84,53
2010-10-17,Pune,ST001,14.93,7.07,20.56,1.88,55
2010-10-18,Pune,ST001,15.88,9.6,20.81,1.67,55
2010-10-19,Pune,ST001,15.3,7.84,21.44,2.22,57
2010-10-20,Pune,ST001,15.13,10.57,19.93,4.13,51
2010-10-21,Pune,ST001,18.34,12.06,24.37,1.1,47
2010-10-22,Pune,ST001,17.3,9.83,21.93,0.31,64
2010-10-23,Pune,ST001,15.04,8.71,21.73,1.8,62
2010-10-24,Pune,ST001,18.6,11.73,25.62,0.63,56
2010-10-25,Pune,ST001,17.35,11.86,21.79,4.23,60
2010-10-26,Pune,ST001,18.52,14.15,24.39,0.85,55
2010-10-27,Pune,ST001,18.18,12.34,22.46,0.8,54
2010-10-28,Pune,ST001,15.03,9.45,21.42,0.86,49
2010-10-29,Pune,ST001,15.68,8.21,20.74,1.66,51
2010-10-30,Pune,ST001,18.62,13.65,24.73,0.95,45
2010-10-31,Pune,ST001,18.39,10.52,24.46,1.07,41
2010-11-01,Pune,ST001,17.07,9.24,24.77,0.95,46
2010-11-02,Pune,ST001,17.44,12.45,23.64,0.68,43
2010-11-03,Pune,ST001,20.07,14.68,26.4,2.27,57
2010-11-04,Pune,ST001,16.03,8.45,21.64,0.43,40
2010-11-05,Pune,ST001,18.62,10.75,26.41,2.16,44
2010-11-06,Pune,ST001,17.05,11.27,24.15,0.92,55
2010-11-07,Pune,ST001,17.09,11.81,22.23,1.46,58
2010-11-08,Pune,ST001,20.07,13.97,27.45,0.66,58
2010-11-09,Pune,ST001,19.56,12.8,25.28,1.28,60
2010-11-10,Pune,ST001,19.62,14.52,26.93,1.16,59
2010-11-11,Pune,ST001,20.79,13.84,28.08,0.12,41
2010-11-12,Pune,ST001,18.05,13.84,22.81,1.16,57
2010-11-13,Pune,ST001,19.6,15.4,26.4,0.5,40
2010-11-14,Pune,ST001,17.51,11.96,22.67,1.82,53
2010-11-15,Pune,ST001,19.0,13.58,24.19,0.8,55
2010-11-16,Pune,ST001,18.1,12.83,23.28,0.85,41
2010-11-17,Pune,ST001,18.7,12.73,25.6,2.82,47
2010-11-18,Pune,ST001,19.89,14.61,24.81,2.94,52
2010-11-19,Pune,ST001,16.88,12.12,20.89,1.23,43
2010-11-20,Pune,ST001,23.39,18.15,30.25,0.41,42
2010-11-21,Pune,ST001,16.68,8.78,21.36,2.23,49
2010-11-22,Pune,ST001,16.33,10.68,20.75,0.88,61
2010-11-23,Pune,ST001,21.66,15.88,26.61,0.05,47
2010-11-24,Pune,ST001,20.96,14.65,26.48,1.06,53
2010-11-25,Pune,ST001,20.7,12.77,26.61,2.33,52
2010-11-26,Pune,ST001,20.82,15.86,25.0,1.94,40
2010-11-27,Pune,ST001,19.53,12.8,27.41,0.25,62
2010-11-28,Pune,ST001,17.7,10.83,24.56,3.18,46
2010-11-29,Pune,ST001,19.95,13.52,25.25,0.96,45
2010-11-30,Pune,ST001,18.41,14.06,23.69,1.87,58
2010-12-01,Pune,ST001,22.17,15.46,27.96,1.58,62
2010-12-02,Pune,ST001,19.82,15.56,26.32,0.13,42
2010-12-03,Pune,ST001,18.45,12.06,23.03,0.79,58
2010-12-04,Pune,ST001,19.68,12.72,24.43,1.62,44
2010-12-05,Pune,ST001,21.42,16.57,28.86,0.1,49
2010-12-06,Pune,ST001,19.39,12.03,24.42,1.0,64
2010-12-07,Pune,ST001,18.95,14.83,24.47,0.73,48
2010-12-08,Pune,ST001,21.42,14.05,28.91,0.54,59
2010-12-09,Pune,ST001,21.55,15.71,28.2,0.25,44
2010-12-10,Pune,ST001,20.03,15.15,25.39,3.93,61
2010-12-11,Pune,ST001,20.23,15.7,26.97,0.26,54
2010-12-12,Pune,ST001,21.91,14.1,25.99,5.53,46
2010-12-13,Pune,ST001,18.34,14.05,25.29,0.61,57
2010-12-14,Pune,ST001,18.56,13.77,24.51,0.91,52
2010-12-15,Pune,ST001,20.21,14.82,27.46,2.53,63
2010-12-16,Pune,ST001,21.46,14.97,29.27,0.81,47
2010-12-17,Pune,ST001,22.74,16.56,30.45,0.16,41
2010-12-18,Pune,ST001,25.44,20.94,33.08,0.52,59
2010-12-19,Pune,ST001,24.21,19.05,30.26,2.7,59
2010-12-20,Pune,ST001,22.11,17.15,27.55,5.43,58
2010-12-21,Pune,ST001,22.55,17.7,28.42,0.31,49
2010-12-22,Pune,ST001,20.53,14.88,27.29,2.3,52
2010-12-23,Pune,ST001,22.83,16.01,30.36,0.3,40
2010-12-24,Pune,ST001,22.37,17.5,27.2,0.03,53
2010-12-25,Pune,ST001,23.85,18.38,31.52,1.76,51
2010-12-26,Pune,ST001,21.46,15.89,28.72,0.02,41
2010-12-27,Pune,ST001,24.56,16.65,32.47,0.13,55
2010-12-28,Pune,ST001,26.92,19.11,34.45,3.21,57
2010-12-29,Pune,ST001,23.45,16.25,28.57,0.33,50
2010-12-30,Pune,ST001,24.71,19.75,29.14,0.52,60
2010-12-31,Pune,ST001,25.48,21.21,29.93,0.31,61
2011-01-01,Pune,ST001,23.3,18.04,28.47,0.88,45
2011-01-02,Pune,ST001,24.82,19.75,31.27,1.14,50
2011-01-03,Pune,ST001,24.49,18.47,31.71,0.9,43
2011-01-04,Pune,ST001,24.81,17.7,32.41,0.25,47
2011-01-05,Pune,ST001,23.04,15.6,29.53,0.76,52
2011-01-06,Pune,ST001,24.93,17.55,28.95,0.07,56
2011-01-07,Pune,ST001,26.11,20.67,30.85,0.04,41
2011-01-08,Pune,ST001,28.34,21.59,32.74,1.25,61
2011-01-09,Pune,ST001,27.39,22.14,32.85,0.65,43
2011-01-10,Pune,ST001,30.16,25.91,36.16,0.86,43
2011-01-11,Pune,ST001,23.87,17.06,28.04,1.46,50
2011-01-12,Pune,ST001,27.61,23.57,33.0,4.75,55
2011-01-13,Pune,ST001,26.23,20.59,30.94,0.17,48
2011-01-14,Pune,ST001,30.78,25.46,37.36,2.53,58
2011-01-15,Pune,ST001,24.31,17.54,30.17,0.79,43
2011-01-16,Pune,ST001,24.38,17.31,30.36,2.6,48
2011-01-17,Pune,ST001,25.04,19.82,30.75,1.36,58
2011-01-18,Pune,ST001,21.82,14.57,29.64,2.47,59
2011-01-19,Pune,ST001,25.46,20.29,30.32,1.37,56
2011-01-20,Pune,ST001,25.08,19.29,31.14,0.56,40
2011-01-21,Pune,ST001,27.21,20.3,34.15,2.15,44
2011-01-22,Pune,ST001,27.76,20.99,33.99,0.66,51
2011-01-23,Pune,ST001,31.26,23.31,38.98,0.68,63
2011-01-24,Pune,ST001,29.35,24.45,34.86,2.15,62
2011-01-25,Pune,ST001,26.12,19.47,31.97,0.76,49
2011-01-26,Pune,ST001,25.53,19.09,29.89,0.49,46
2011-01-27,Pune,ST001,28.72,21.06,35.15,0.47,59
2011-01-28,Pune,ST001,24.85,20.23,30.0,2.06,46
2011-01-29,Pune,ST001,31.91,24.9,36.55,1.02,42
2011-01-30,Pune,ST001,30.59,24.32,36.77,0.42,51
2011-01-31,Pune,ST001,27.08,21.99,33.21,1.63,52
2011-02-01,Pune,ST001,24.47,18.57,28.77,0.51,56
2011-02-02,Pune,ST001,31.33,25.99,38.12,1.51,53
2011-02-03,Pune,ST001,28.21,21.9,34.71,1.1,43
2011-02-04,Pune,ST001,31.3,23.75,36.06,0.48,62
2011-02-05,Pune,ST001,25.19,18.91,31.06,1.11,42
2011-02-06,Pune,ST001,27.49,20.96,34.37,2.54,64
2011-02-07,Pune,ST001,28.93,22.85,35.04,1.23,56
2011-02-08,Pune,ST001,29.13,24.92,34.71,2.88,53
2011-02-09,Pune,ST001,28.14,23.21,33.43,7.98,56
2011-02-10,Pune,ST001,30.61,24.64,37.05,3.78,45
2011-02-11,Pune,ST001,26.99,21.75,34.75,2.14,44
2011-02-12,Pune,ST001,29.13,24.4,35.82,0.94,52
2011-02-13,Pune,ST001,29.81,23.79,34.11,1.26,43
2011-02-14,Pune,ST001,30.77,25.48,36.62,3.87,52
2011-02-15,Pune,ST001,31.31,26.27,38.87,0.66,46
2011-02-16,Pune,ST001,27.36,21.51,31.74,1.67,63
2011-02-17,Pune,ST001,26.56,22.02,34.51,0.98,45
2011-02-18,Pune,ST001,32.83,25.12,40.63,1.19,41
2011-02-19,Pune,ST001,30.84,23.37,35.16,4.53,50
2011-02-20,Pune,ST001,28.56,21.73,36.29,1.45,52
2011-02-21,Pune,ST001,33.7,29.28,39.15,0.74,61
2011-02-22,Pune,ST001,30.63,23.53,38.01,1.9,51
2011-02-23,Pune,ST001,33.05,25.82,38.73,0.22,54
2011-02-24,Pune,ST001,30.69,23.62,36.45,0.56,63
2011-02-25,Pune,ST001,35.15,30.7,41.69,0.38,46
2011-02-26,Pune,ST001,34.56,27.98,41.66,0.4,52
