date,location,station,avg_temp,min_temp,max_temp,precipitation,humidity,year,month,day,month_name,season,temp_30d_avg,rain_30d_avg
2010-02-01,Pune,ST001,32.26,24.85,37.89,2.72,61,2010,2,1,February,Winter,25.99833333333333,1.4536666666666667
2010-02-02,Pune,ST001,28.27,22.03,33.91,2.49,55,2010,2,2,February,Winter,26.079333333333334,1.4126666666666665
2010-02-03,Pune,ST001,26.09,20.03,32.27,0.55,47,2010,2,3,February,Winter,26.019000000000002,1.4233333333333333
2010-02-04,Pune,ST001,30.34,25.94,36.51,2.71,54,2010,2,4,February,Winter,26.224666666666668,1.5013333333333334
2010-02-05,Pune,ST001,25.96,21.89,31.95,0.84,45,2010,2,5,February,Winter,26.279666666666667,1.4993333333333332
2010-02-06,Pune,ST001,29.21,21.36,33.75,0.95,41,2010,2,6,February,Winter,26.305333333333333,1.3146666666666667
2010-02-07,Pune,ST001,24.55,19.05,30.54,0.61,45,2010,2,7,February,Winter,26.230666666666668,1.2516666666666665
2010-02-08,Pune,ST001,26.05,19.64,30.73,0.85,48,2010,2,8,February,Winter,26.292333333333332,1.2006666666666668
2010-02-09,Pune,ST001,29.51,25.19,34.02,1.27,42,2010,2,9,February,Winter,26.390666666666668,1.2053333333333331
2010-02-10,Pune,ST001,30.81,24.08,38.54,1.58,52,2010,2,10,February,Winter,26.601333333333333,1.2513333333333336
2010-02-11,Pune,ST001,29.67,21.94,36.09,0.59,59,2010,2,11,February,Winter,26.76966666666667,1.1400000000000001
2010-02-12,Pune,ST001,29.14,22.84,35.78,0.25,53,2010,2,12,February,Winter,26.863999999999997,1.144
2010-02-13,Pune,ST001,28.83,24.33,34.44,1.92,54,2010,2,13,February,Winter,27.10166666666667,1.1263333333333334
2010-02-14,Pune,ST001,26.34,18.29,33.98,2.35,61,2010,2,14,February,Winter,27.238,1.2033333333333334
2010-02-15,Pune,ST001,28.11,21.04,34.66,1.96,62,2010,2,15,February,Winter,27.343666666666664,1.2473333333333334
2010-02-16,Pune,ST001,28.77,23.15,35.85,0.95,48,2010,2,16,February,Winter,27.5,1.189
2010-02-17,Pune,ST001,32.21,24.69,37.68,0.34,64,2010,2,17,February,Winter,27.669333333333334,1.2
2010-02-18,Pune,ST001,30.73,24.13,38.57,3.27,45,2010,2,18,February,Winter,27.874666666666666,1.27
2010-02-19,Pune,ST001,26.18,18.59,33.47,3.15,53,2010,2,19,February,Winter,27.961,1.268
2010-02-20,Pune,ST001,39.7253691201993,24.37,38.28,1.2,41,2010,2,20,February,Winter,28.283512304006642,1.2646666666666666
2010-02-21,Pune,ST001,29.39,24.87,34.08,0.66,60,2010,2,21,February,Winter,28.38117897067331,1.2593333333333334
2010-02-22,Pune,ST001,28.84,23.6,33.92,1.01,43,2010,2,22,February,Winter,28.434845637339972,1.2503333333333333
2010-02-23,Pune,ST001,31.75,26.95,36.9,0.75,48,2010,2,23,February,Winter,28.690512304006642,1.2743333333333333
2010-02-24,Pune,ST001,32.76,25.12,37.84,0.83,52,2010,2,24,February,Winter,28.91117897067331,1.28
2010-02-25,Pune,ST001,32.62,25.58,40.04,2.4,50,2010,2,25,February,Winter,29.07517897067331,1.3123333333333336
2010-02-26,Pune,ST001,28.8,22.09,32.93,2.9,43,2010,2,26,February,Winter,29.200178970673313,1.3760000000000001
2010-02-27,Pune,ST001,30.04,24.84,34.35,2.16,42,2010,2,27,February,Winter,29.25051230400664,1.4283333333333332
2010-02-28,Pune,ST001,31.52,26.79,36.62,0.04,61,2010,2,28,February,Winter,29.417512304006642,1.4256666666666666
2010-03-01,Pune,ST001,33.01,25.99,37.81,0.61,42,2010,3,1,March,Summer,29.607512304006644,1.4143333333333332
2010-03-02,Pune,ST001,29.88,23.99,34.81,0.37,37,2010,3,2,March,Summer,29.71217897067331,1.4093333333333333
2010-03-03,Pune,ST001,30.6,25.69,37.79,0.04,30,2010,3,3,March,Summer,29.656845637339977,1.32
2010-03-04,Pune,ST001,28.64,22.17,34.89,0.54,42,2010,3,4,March,Summer,29.66917897067331,1.255
2010-03-05,Pune,ST001,28.5,24.34,32.52,1.94,38,2010,3,5,March,Summer,29.749512304006643,1.3013333333333335
2010-03-06,Pune,ST001,32.98,27.68,38.7,0.5,34,2010,3,6,March,Summer,29.83751230400664,1.2276666666666667
2010-03-07,Pune,ST001,34.24,28.36,39.87,0.28,38,2010,3,7,March,Summer,30.113512304006644,1.2089999999999999
2010-03-08,Pune,ST001,31.15,26.56,35.61,1.69,38,2010,3,8,March,Summer,30.178178970673308,1.233666666666667
2010-03-09,Pune,ST001,33.57,25.63,40.28,1.66,41,2010,3,9,March,Summer,30.478845637339976,1.2686666666666668
2010-03-10,Pune,ST001,32.21,27.38,39.02,0.83,32,2010,3,10,March,Summer,30.684178970673308,1.268
2010-03-11,Pune,ST001,30.05,25.53,36.93,0.81,31,2010,3,11,March,Summer,30.70217897067331,1.2526666666666666
2010-03-12,Pune,ST001,32.31,27.5,39.23,0.22,45,2010,3,12,March,Summer,30.75217897067331,1.2073333333333334
2010-03-13,Pune,ST001,34.95,27.87,38.95,0.45,43,2010,3,13,March,Summer,30.928178970673308,1.2026666666666666
2010-03-14,Pune,ST001,31.53,25.83,39.34,2.31,42,2010,3,14,March,Summer,31.007845637339976,1.2713333333333334
2010-03-15,Pune,ST001,35.09,28.83,42.35,2.72,50,2010,3,15,March,Summer,31.216512304006642,1.2980000000000003
2010-03-16,Pune,ST001,25.92,21.84,33.54,1.03,44,2010,3,16,March,Summer,31.202512304006643,1.2540000000000002
2010-03-17,Pune,ST001,33.53,29.39,37.59,1.29,49,2010,3,17,March,Summer,31.38317897067331,1.2316666666666667
2010-03-18,Pune,ST001,31.95,26.17,39.69,0.26,47,2010,3,18,March,Summer,31.48917897067331,1.2086666666666666
2010-03-19,Pune,ST001,31.13,23.87,38.37,2.06,47,2010,3,19,March,Summer,31.45317897067331,1.2660000000000002
2010-03-20,Pune,ST001,32.02,24.48,39.37,0.3,34,2010,3,20,March,Summer,31.49617897067331,1.167
2010-03-21,Pune,ST001,27.48,23.13,31.85,0.52,47,2010,3,21,March,Summer,31.539512304006642,1.0793333333333335
2010-03-22,Pune,ST001,31.39,25.24,38.35,0.47,33,2010,3,22,March,Summer,31.261666666666667,1.055
2010-03-23,Pune,ST001,32.68,25.03,40.52,2.26,53,2010,3,23,March,Summer,31.371333333333332,1.1083333333333334
2010-03-24,Pune,ST001,35.17,29.62,41.88,0.18,35,2010,3,24,March,Summer,31.582333333333334,1.0806666666666667
2010-03-25,Pune,ST001,30.8,23.48,37.08,0.0,45,2010,3,25,March,Summer,31.550666666666668,1.0556666666666668
2010-03-26,Pune,ST001,30.17,25.64,37.96,0.65,33,2010,3,26,March,Summer,31.464333333333336,1.0496666666666667
2010-03-27,Pune,ST001,30.86,23.12,36.63,1.54,38,2010,3,27,March,Summer,31.40566666666667,1.0210000000000001
2010-03-28,Pune,ST001,33.99,26.99,40.39,0.97,37,2010,3,28,March,Summer,31.578666666666667,0.9566666666666667
2010-03-29,Pune,ST001,32.71,24.94,38.62,0.26,38,2010,3,29,March,Summer,31.667666666666666,0.8933333333333333
2010-03-30,Pune,ST001,30.83,24.12,38.56,2.3,31,2010,3,30,March,Summer,31.64466666666667,0.9686666666666667
2010-03-31,Pune,ST001,33.13,27.67,37.43,1.68,34,2010,3,31,March,Summer,31.648666666666667,1.0043333333333333
2010-04-01,Pune,ST001,32.21,24.46,38.22,0.41,31,2010,4,1,April,Summer,31.726333333333336,1.0056666666666667
2010-04-02,Pune,ST001,34.13,29.03,40.88,0.18,39,2010,4,2,April,Summer,31.844,1.0103333333333333
2010-04-03,Pune,ST001,30.45,25.12,37.62,0.08,41,2010,4,3,April,Summer,31.904333333333334,0.995
2010-04-04,Pune,ST001,31.27,24.47,37.6,0.45,42,2010,4,4,April,Summer,31.99666666666667,0.9453333333333334
2010-04-05,Pune,ST001,31.12,24.06,38.76,0.93,45,2010,4,5,April,Summer,31.93466666666667,0.9596666666666667
2010-04-06,Pune,ST001,28.75,21.04,36.52,1.21,50,2010,4,6,April,Summer,31.75166666666667,0.9906666666666666
2010-04-07,Pune,ST001,32.61,27.79,36.87,1.32,52,2010,4,7,April,Summer,31.800333333333334,0.9783333333333334
2010-04-08,Pune,ST001,32.52,25.33,38.13,0.52,30,2010,4,8,April,Summer,31.765333333333334,0.9403333333333334
2010-04-09,Pune,ST001,31.94,24.99,36.04,2.78,41,2010,4,9,April,Summer,31.756333333333334,1.0053333333333334
2010-04-10,Pune,ST001,31.39,27.14,36.71,0.19,39,2010,4,10,April,Summer,31.801,0.9846666666666667
2010-04-11,Pune,ST001,28.78,23.23,34.92,1.47,37,2010,4,11,April,Summer,31.683333333333337,1.0263333333333333
2010-04-12,Pune,ST001,30.94,25.81,38.58,0.05,39,2010,4,12,April,Summer,31.549666666666667,1.013
2010-04-13,Pune,ST001,31.08,25.87,38.47,0.53,44,2010,4,13,April,Summer,31.53466666666667,0.9536666666666667
2010-04-14,Pune,ST001,30.05,22.11,34.56,0.94,33,2010,4,14,April,Summer,31.366666666666667,0.8943333333333334
2010-04-15,Pune,ST001,31.42,24.85,35.8,0.64,41,2010,4,15,April,Summer,31.550000000000004,0.8813333333333334
2010-04-16,Pune,ST001,32.63,25.76,38.99,0.42,44,2010,4,16,April,Summer,31.52,0.8523333333333334
2010-04-17,Pune,ST001,35.86,27.95,41.99,1.46,35,2010,4,17,April,Summer,31.650333333333332,0.8923333333333333
2010-04-18,Pune,ST001,32.06,26.55,37.12,0.2,30,2010,4,18,April,Summer,31.681333333333335,0.8303333333333334
2010-04-19,Pune,ST001,32.2,24.99,39.8,3.03,43,2010,4,19,April,Summer,31.68733333333334,0.9213333333333333
2010-04-20,Pune,ST001,31.43,25.69,39.14,1.55,30,2010,4,20,April,Summer,31.819000000000003,0.9556666666666668
2010-04-21,Pune,ST001,27.32,19.85,32.93,0.15,35,2010,4,21,April,Summer,31.683333333333337,0.9450000000000001
2010-04-22,Pune,ST001,31.44,26.72,39.0,0.07,54,2010,4,22,April,Summer,31.642,0.872
2010-04-23,Pune,ST001,31.58,23.79,37.12,0.08,34,2010,4,23,April,Summer,31.522333333333336,0.8686666666666666
2010-04-24,Pune,ST001,36.82,31.94,43.76,2.11,48,2010,4,24,April,Summer,31.723,0.9390000000000001
2010-04-25,Pune,ST001,30.92,25.62,36.83,0.37,42,2010,4,25,April,Summer,31.748,0.9296666666666666
2010-04-26,Pune,ST001,31.95,24.93,36.44,0.25,31,2010,4,26,April,Summer,31.784333333333333,0.8866666666666666
2010-04-27,Pune,ST001,31.16,25.58,38.87,0.32,47,2010,4,27,April,Summer,31.69,0.865
2010-04-28,Pune,ST001,28.6,22.17,34.42,1.59,42,2010,4,28,April,Summer,31.553,0.9093333333333332
2010-04-29,Pune,ST001,33.62,27.85,40.56,0.15,44,2010,4,29,April,Summer,31.646,0.8376666666666668
2010-04-30,Pune,ST001,32.7,25.73,38.17,1.16,39,2010,4,30,April,Summer,31.631666666666668,0.8203333333333334
2010-05-01,Pune,ST001,32.72,27.81,36.8,0.11,54,2010,5,1,May,Summer,31.648666666666667,0.8103333333333335
2010-05-02,Pune,ST001,28.91,24.68,33.31,2.33,37,2010,5,2,May,Summer,31.474666666666668,0.882
2010-05-03,Pune,ST001,33.93,28.73,39.91,0.74,51,2010,5,3,May,Summer,31.590666666666667,0.904
2010-05-04,Pune,ST001,27.68,21.79,34.44,0.23,42,2010,5,4,May,Summer,31.471,0.8966666666666666
2010-05-05,Pune,ST001,31.98,27.31,37.32,0.41,47,2010,5,5,May,Summer,31.499666666666666,0.8793333333333333
2010-05-06,Pune,ST001,35.44,30.02,42.22,0.35,38,2010,5,6,May,Summer,31.722666666666665,0.8506666666666667
2010-05-07,Pune,ST001,28.36,22.76,35.15,0.5,47,2010,5,7,May,Summer,31.581,0.8233333333333334
2010-05-08,Pune,ST001,29.21,24.98,36.03,1.38,54,2010,5,8,May,Summer,31.470666666666666,0.852
2010-05-09,Pune,ST001,30.6,24.26,36.57,1.41,37,2010,5,9,May,Summer,31.426000000000002,0.8063333333333332
2010-05-10,Pune,ST001,29.19,21.65,36.84,2.19,50,2010,5,10,May,Summer,31.352666666666668,0.873
2010-05-11,Pune,ST001,26.8,22.19,32.75,1.7,44,2010,5,11,May,Summer,31.28666666666667,0.8806666666666666
2010-05-12,Pune,ST001,30.27,23.88,36.07,1.78,50,2010,5,12,May,Summer,31.264333333333337,0.9383333333333334
2010-05-13,Pune,ST001,27.69,21.03,32.49,1.04,36,2010,5,13,May,Summer,31.151333333333334,0.9553333333333334
2010-05-14,Pune,ST001,30.98,25.3,36.21,0.91,36,2010,5,14,May,Summer,31.182333333333336,0.9543333333333333
2010-05-15,Pune,ST001,27.82,21.02,31.99,0.68,42,2010,5,15,May,Summer,31.062333333333335,0.9556666666666666
2010-05-16,Pune,ST001,33.16,27.52,39.69,0.55,36,2010,5,16,May,Summer,31.08,0.9600000000000001
2010-05-17,Pune,ST001,27.93,21.91,32.92,1.22,40,2010,5,17,May,Summer,30.815666666666665,0.952
2010-05-18,Pune,ST001,28.85,24.82,34.06,0.12,49,2010,5,18,May,Summer,30.708666666666666,0.9493333333333334
2010-05-19,Pune,ST001,31.25,24.48,38.33,0.35,37,2010,5,19,May,Summer,30.677,0.8599999999999999
2010-05-20,Pune,ST001,26.65,20.0,31.96,3.71,34,2010,5,20,May,Summer,30.517666666666667,0.9319999999999999
2010-05-21,Pune,ST001,29.75,25.6,34.72,0.07,44,2010,5,21,May,Summer,30.598666666666663,0.9293333333333333
2010-05-22,Pune,ST001,32.02,26.55,36.7,1.4,44,2010,5,22,May,Summer,30.618,0.9736666666666666
2010-05-23,Pune,ST001,25.5,17.59,32.6,0.43,47,2010,5,23,May,Summer,30.415333333333333,0.9853333333333334
2010-05-24,Pune,ST001,29.34,23.66,33.86,0.75,45,2010,5,24,May,Summer,30.166,0.9400000000000001
2010-05-25,Pune,ST001,29.4,23.39,35.21,0.05,31,2010,5,25,May,Summer,30.115333333333332,0.9293333333333333
2010-05-26,Pune,ST001,30.43,22.79,36.46,0.58,43,2010,5,26,May,Summer,30.064666666666668,0.9403333333333334
2010-05-27,Pune,ST001,25.88,19.01,32.63,0.63,54,2010,5,27,May,Summer,29.888666666666666,0.9506666666666667
2010-05-28,Pune,ST001,25.58,19.25,32.12,0.41,53,2010,5,28,May,Summer,29.788000000000004,0.9113333333333333
2010-05-29,Pune,ST001,29.52,22.33,36.76,0.7,50,2010,5,29,May,Summer,29.651333333333337,0.9296666666666665
2010-05-30,Pune,ST001,28.91,21.45,33.09,0.1,33,2010,5,30,May,Summer,29.525,0.8943333333333333
2010-05-31,Pune,ST001,28.69,22.86,33.88,0.85,31,2010,5,31,May,Summer,29.390666666666664,0.9189999999999999
2010-06-01,Pune,ST001,28.78,22.88,33.91,11.31,87,2010,6,1,June,Monsoon,29.386333333333333,1.2183333333333333
2010-06-02,Pune,ST001,26.41,20.86,30.99,14.03,72,2010,6,2,June,Monsoon,29.13566666666667,1.661333333333333
2010-06-03,Pune,ST001,28.29,20.43,33.45,26.13,88,2010,6,3,June,Monsoon,29.156,2.524666666666667
2010-06-04,Pune,ST001,28.31,21.52,33.54,10.79,83,2010,6,4,June,Monsoon,29.033666666666665,2.8706666666666667
2010-06-05,Pune,ST001,25.97,21.63,32.05,5.94,78,2010,6,5,June,Monsoon,28.718000000000004,3.057
2010-06-06,Pune,ST001,31.52,24.07,38.17,4.99,86,2010,6,6,June,Monsoon,28.823333333333334,3.2066666666666666
2010-06-07,Pune,ST001,28.33,22.41,33.86,20.15,92,2010,6,7,June,Monsoon,28.793999999999997,3.832333333333333
2010-06-08,Pune,ST001,24.54,20.27,31.42,4.42,73,2010,6,8,June,Monsoon,28.592,3.932666666666667
2010-06-09,Pune,ST001,28.48,22.28,33.82,13.85,91,2010,6,9,June,Monsoon,28.56833333333333,4.3213333333333335
2010-06-10,Pune,ST001,24.76,19.09,29.92,26.84,75,2010,6,10,June,Monsoon,28.500333333333334,5.1593333333333335
2010-06-11,Pune,ST001,28.51,21.0,34.68,13.3,90,2010,6,11,June,Monsoon,28.441666666666666,5.543333333333334
2010-06-12,Pune,ST001,29.2,24.38,33.29,8.62,94,2010,6,12,June,Monsoon,28.492,5.796
2010-06-13,Pune,ST001,24.71,17.41,29.03,2.21,73,2010,6,13,June,Monsoon,28.283,5.839333333333333
2010-06-14,Pune,ST001,28.51,22.28,34.18,32.28,88,2010,6,14,June,Monsoon,28.305999999999997,6.892666666666667
2010-06-15,Pune,ST001,27.16,22.95,34.94,18.0,73,2010,6,15,June,Monsoon,28.105999999999998,7.474333333333333
2010-06-16,Pune,ST001,27.93,20.05,34.82,16.3,88,2010,6,16,June,Monsoon,28.106,7.977
2010-06-17,Pune,ST001,30.16,24.11,34.52,2.1,76,2010,6,17,June,Monsoon,28.14966666666667,8.043
2010-06-18,Pune,ST001,25.32,20.15,32.7,2.5,86,2010,6,18,June,Monsoon,27.952,8.114666666666666
2010-06-19,Pune,ST001,24.07,18.19,30.99,17.94,87,2010,6,19,June,Monsoon,27.866,8.589
2010-06-20,Pune,ST001,23.63,16.2,30.08,6.02,75,2010,6,20,June,Monsoon,27.662,8.787333333333333
2010-06-21,Pune,ST001,23.66,18.44,30.94,7.34,74,2010,6,21,June,Monsoon,27.38333333333333,8.985333333333333
2010-06-22,Pune,ST001,25.15,20.38,30.77,10.75,70,2010,6,22,June,Monsoon,27.37166666666667,9.329333333333333
2010-06-23,Pune,ST001,25.93,21.42,30.82,12.11,84,2010,6,23,June,Monsoon,27.258,9.708
2010-06-24,Pune,ST001,25.66,20.46,31.7,22.71,79,2010,6,24,June,Monsoon,27.133333333333333,10.463333333333333
2010-06-25,Pune,ST001,26.73,19.61,32.92,19.59,90,2010,6,25,June,Monsoon,27.009999999999998,11.097000000000001
2010-06-26,Pune,ST001,24.8,18.92,30.95,4.48,92,2010,6,26,June,Monsoon,26.974,11.225333333333335
2010-06-27,Pune,ST001,27.83,22.92,34.09,17.15,87,2010,6,27,June,Monsoon,27.049,11.783333333333333
2010-06-28,Pune,ST001,23.92,19.25,31.71,4.94,81,2010,6,28,June,Monsoon,26.862333333333332,11.924666666666667
2010-06-29,Pune,ST001,30.35,25.01,37.95,4.66,88,2010,6,29,June,Monsoon,26.91033333333333,12.076666666666666
2010-06-30,Pune,ST001,25.6,17.84,33.1,2.47,81,2010,6,30,June,Monsoon,26.807333333333336,12.130666666666666
2010-07-01,Pune,ST001,22.2,16.83,29.41,14.2,72,2010,7,1,July,Monsoon,26.588,12.227
2010-07-02,Pune,ST001,21.59,13.64,29.37,14.61,89,2010,7,2,July,Monsoon,26.427333333333333,12.246333333333332
2010-07-03,Pune,ST001,24.87,18.93,29.27,10.56,87,2010,7,3,July,Monsoon,26.313333333333336,11.727333333333332
2010-07-04,Pune,ST001,23.18,18.46,28.24,3.48,85,2010,7,4,July,Monsoon,26.142333333333333,11.483666666666666
2010-07-05,Pune,ST001,25.11,17.54,31.09,1.96,92,2010,7,5,July,Monsoon,26.113666666666667,11.350999999999999
2010-07-06,Pune,ST001,24.44,18.6,31.83,15.35,79,2010,7,6,July,Monsoon,25.877666666666663,11.696333333333335
2010-07-07,Pune,ST001,23.1,16.26,29.12,21.96,75,2010,7,7,July,Monsoon,25.703333333333333,11.756666666666666
2010-07-08,Pune,ST001,21.26,13.33,28.25,4.14,88,2010,7,8,July,Monsoon,25.593999999999998,11.747333333333334
2010-07-09,Pune,ST001,19.66,15.45,24.21,9.74,84,2010,7,9,July,Monsoon,25.300000000000004,11.610333333333333
2010-07-10,Pune,ST001,21.87,17.48,26.88,9.89,72,2010,7,10,July,Monsoon,25.203666666666667,11.045333333333334
2010-07-11,Pune,ST001,24.6,17.72,31.53,15.64,85,2010,7,11,July,Monsoon,25.07333333333333,11.123333333333335
2010-07-12,Pune,ST001,23.05,17.92,27.71,16.34,81,2010,7,12,July,Monsoon,24.868333333333336,11.380666666666666
2010-07-13,Pune,ST001,19.7,14.97,25.11,4.56,81,2010,7,13,July,Monsoon,24.70133333333333,11.459
2010-07-14,Pune,ST001,22.69,18.53,27.75,2.85,86,2010,7,14,July,Monsoon,24.507333333333335,10.478000000000002
2010-07-15,Pune,ST001,23.02,18.94,28.42,5.19,73,2010,7,15,July,Monsoon,24.369333333333334,10.051
2010-07-16,Pune,ST001,20.1,13.0,26.93,3.99,93,2010,7,16,July,Monsoon,24.108333333333334,9.640666666666666
2010-07-17,Pune,ST001,22.25,17.71,27.72,29.54,85,2010,7,17,July,Monsoon,23.84466666666667,10.555333333333332
2010-07-18,Pune,ST001,21.9,16.03,28.13,7.41,91,2010,7,18,July,Monsoon,23.730666666666664,10.719
2010-07-19,Pune,ST001,19.13,12.71,23.53,16.14,85,2010,7,19,July,Monsoon,23.566,10.658999999999999
2010-07-20,Pune,ST001,22.3,16.59,29.52,9.26,85,2010,7,20,July,Monsoon,23.521666666666665,10.767
2010-07-21,Pune,ST001,22.62,18.51,28.1,15.23,74,2010,7,21,July,Monsoon,23.487000000000002,11.030000000000001
2010-07-22,Pune,ST001,23.64,16.5,30.23,5.17,84,2010,7,22,July,Monsoon,23.436666666666667,10.844
2010-07-23,Pune,ST001,23.44,19.4,30.34,10.61,71,2010,7,23,July,Monsoon,23.353666666666665,10.794
2010-07-24,Pune,ST001,17.97,10.92,22.8,6.02,88,2010,7,24,July,Monsoon,23.097333333333335,10.237666666666666
2010-07-25,Pune,ST001,18.81,11.23,26.34,3.67,83,2010,7,25,July,Monsoon,22.833333333333332,9.706999999999999
2010-07-26,Pune,ST001,21.88,16.14,28.34,6.59,93,2010,7,26,July,Monsoon,22.735999999999997,9.777333333333333
2010-07-27,Pune,ST001,21.75,15.61,27.46,13.22,85,2010,7,27,July,Monsoon,22.533333333333335,9.646333333333333
2010-07-28,Pune,ST001,21.63,15.72,26.36,14.76,91,2010,7,28,July,Monsoon,22.456999999999997,9.973666666666666
2010-07-29,Pune,ST001,28.85,23.29,36.62,6.33,83,2010,7,29,July,Monsoon,22.407,10.029333333333334
2010-07-30,Pune,ST001,21.5,13.95,28.52,9.23,92,2010,7,30,July,Monsoon,22.270333333333333,10.254666666666667
2010-07-31,Pune,ST001,22.63,15.05,27.46,2.57,74,2010,7,31,July,Monsoon,22.284666666666666,9.866999999999999
2010-08-01,Pune,ST001,22.11,16.76,27.46,7.79,72,2010,8,1,August,Monsoon,22.302,9.639666666666667
2010-08-02,Pune,ST001,21.32,14.86,28.56,9.69,87,2010,8,2,August,Monsoon,22.183666666666667,9.610666666666667
2010-08-03,Pune,ST001,19.08,11.37,25.86,8.99,82,2010,8,3,August,Monsoon,22.047,9.794333333333332
2010-08-04,Pune,ST001,21.32,13.48,28.39,11.53,88,2010,8,4,August,Monsoon,21.920666666666666,10.113333333333333
2010-08-05,Pune,ST001,17.84,11.8,23.6,11.16,88,2010,8,5,August,Monsoon,21.70066666666667,9.973666666666666
2010-08-06,Pune,ST001,18.91,13.09,25.77,7.74,82,2010,8,6,August,Monsoon,21.561,9.499666666666666
2010-08-07,Pune,ST001,18.25,13.13,23.79,5.73,85,2010,8,7,August,Monsoon,21.46066666666667,9.552666666666669
2010-08-08,Pune,ST001,19.38,11.55,24.23,12.05,84,2010,8,8,August,Monsoon,21.45133333333333,9.629666666666667
2010-08-09,Pune,ST001,24.19,19.62,30.72,5.7,83,2010,8,9,August,Monsoon,21.528666666666663,9.490000000000002
2010-08-10,Pune,ST001,14.88,8.56,22.78,8.6,71,2010,8,10,August,Monsoon,21.204666666666665,9.255333333333333
2010-08-11,Pune,ST001,20.39,15.26,25.63,4.1,89,2010,8,11,August,Monsoon,21.116,8.847333333333333
2010-08-12,Pune,ST001,15.23,10.11,21.07,4.99,70,2010,8,12,August,Monsoon,20.967,8.861666666666668
